First Name,Last Name,Phone Number,Email,Year of Birth,Gender,Are you a person with Disability?,County of Residence,Sub County of Residence (Sub Counties in Mombasa),Ward of Residence,Highest level of education completed,Are you employed,Are you running a business,Whats your area of interest?,"If you selected other, please elaborate (If not, respond with N/A)",Mode of Mentorship ( Remote / Physical / Any),Prefered Mentor Gender (Male / Female / Any),What are your strengths,What are your weaknesses,What are your career goals,What skills would you like to be mentored,What are your financial goals,Upload your resume if available,Who referred you? (Your Case Manager/Mentor)
,,,,2004,Female,No,Mombasa,Kisauni,Magogoni ,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,JUNDA,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Nyali,Kongowea,Univeristy,Yes,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Kisauni,Kisauni ,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,MJAMBERE,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Changamwe,Chaani,Secondary (High School),No,No,Hospitality and Tourism,No,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Ziwa la ng'ombe,College,No,No,Health,Guiding and counsel ,,,,,,,,,
,,,,1999,Male,No,Mombasa,Kisauni,Mjambere,TVET,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Bamburi,College,Yes,No,Entrepreneurship,N/A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,2004,Male,No,Mombasa,Likoni,Shikaadabu,TVET,No,No,Electric and plumbing,A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Kisauni,MJAMBERE,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Mjambere ,College,No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Digital Literacy Skills (technology),Electric engineering ,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,Shikaadabu ,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Junda,TVET,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1996,Female,No,Mombasa,Nyali,Mtopanga,College,Yes,No,Creatives and Arts,No,,,,,,,,,
,,,,2001,Male,No,Mombasa,Likoni,Shikaadabu,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Bamburi ,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Bamburi,College,Yes,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Mjambere ,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Entrepreneurship,I have not ,,,,,,,,,
,,,,2000,Female,No,Mombasa,Nyali,ZIWA LA NG'OMBE,College,No,No,Health,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,Shikaadabu ,Primary,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,1993,Male,No,Mombasa,Mvita,Ganjoni ,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Changamwe,AIRPORT WARD,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Likoni,Timbwani,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Bamburi,College,Yes,No,Health,NA,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Likoni,Shikaadabu ,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Kisauni,Mtopanga,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,2004,Female,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Likoni,Shikaadabu ,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Likoni,Timbwani,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,No,Beauty therapy ,N/A,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,1994,Female,No,Mombasa,Kisauni,Mjambere ,College,No,No,Digital Literacy Skills (technology),No,,,,,,,,,
,,,,2002,Male,No,Mombasa,Kisauni,Mjambere,TVET,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1994,Male,No,Mombasa,Likoni,Shika Adabu,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mjambere,Univeristy,Yes,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Jomvu,Jomvuu kuu ward,Primary,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Likoni,Shikaadabu word,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2006,Female,No,Mombasa,Likoni,Timbwani,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Kisauni,Bamburi ,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Magogoni,College,No,No,Health,N/A,,,,,,,,,
,,,,1994,Female,No,Mombasa,Kisauni,Bamburi,College,No,No,Health,N/a,,,,,,,,,
,,,,1994,Male,No,Mombasa,Nyali,MJAMBERE,College,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1998,Male,No,Mombasa,Nyali,KADZANDANI,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Mvita,Mvita,TVET,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Magogoni,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Kisauni,Mjambere ,College,No,Yes,Electric ,N/a,,,,,,,,,
,,,,2004,Female,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Likoni,Shikaadabu ,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,Yes,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Likoni,Shikaadabu,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Nyali,Ziwa la Ngombe,Univeristy,No,Yes,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2004,Female,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Likoni,Shika-Adabu ,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Nyali,Frere Town,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Nyali,Freretown,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Junda,Univeristy,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Kisauni,Mjambere,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Nyali,Nyali,Secondary (High School),Yes,Yes,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Kisauni,Mwembelegeza,Univeristy,No,Yes,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Kisauni,Bamburi,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Shikaadabu,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2001,Male,No,Mombasa,Nyali,Ziwa La Ng'ombe ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1995,Male,No,Mombasa,Kisauni,Magogoni,College,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Magogoni,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Bamburi,College,No,No,Health,N/A,,,,,,,,,
,,,,2001,Male,No,Kwale,Others (Outside Mombasa),Bongwe-Gombato,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2000,Male,No,Mombasa,Kisauni,Bamburi,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Magogoni ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Likoni,Shikaadabu,Secondary (High School),No,Yes,Baking,Baking,,,,,,,,,
,,,,2003,Female,No,Mombasa,Kisauni,Lake view ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2002,Female,No,Mombasa,Nyali,Kazandani,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Nyali,Kongowea,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1990,Female,No,Mombasa,Kisauni,Bamburi,Primary,No,Yes,Health,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Kisauni,Junda ,College,No,No,Health,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Kisauni,Bamburi,Univeristy,No,No,Digital Literacy Skills (technology),n/a,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Likoni,Shikadabu ,Primary,No,No,No,No,,,,,,,,,
,,,,1993,Female,No,Mombasa,Likoni,Bofu,Univeristy,Yes,Yes,Advocacy & leadership,Advocacy like running online campaigns on youth inclusion on matters of leardership.youths being trusted to make strong boardroom decisions.,,,,,,,,,
,,,,2001,Female,No,Mombasa,Nyali,Bombululu ,Primary,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Kazandani,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Nyali,Ziwa la ng'ombe,College,Yes,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Kisauni,Bamburi ,College,No,No,Health,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Changamwe,Chaani,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Nyali,Kongowea,Secondary (High School),No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,1992,Female,No,Mombasa,Likoni,Bofu,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1997,Male,No,Mombasa,Changamwe,Chaani,Primary,No,Yes,Creatives and Arts,NA,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Bamburi,Univeristy,No,No,Health,N/A,,,,,,,,,
,,,,1989,Female,No,Mombasa,Likoni,Bofu,Secondary (High School),No,Yes,Creatives and Arts,A,,,,,,,,,
,,,,1996,Female,No,Mombasa,Kisauni,Junda,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2001,Female,No,Mombasa,Changamwe,Changamwe ,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1998,Female,No,Mombasa,Kisauni,Bamburi ,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Kisauni,Mjambere ,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Nyali,Frere town ,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1999,Female,No,Mombasa,Kisauni,Kisauni,College,No,No,Digital Literacy Skills (technology),N\A,,,,,,,,,
,,,,2003,Male,No,Mombasa,Kisauni,Bamburi ,Secondary (High School),No,No,Health,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Mvita,Tudor,College,No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Mvita,Old Town ,TVET,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2004,Female,No,Kwale,Others (Outside Mombasa),Matuga,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2005,Female,No,Mombasa,Nyali,Frere town,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Likoni,timbwani,TVET,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2004,Male,No,Mombasa,Changamwe,Airport ward,Secondary (High School),No,No,Plumbing ,Plumbing ,,,,,,,,,
,,,,2000,Male,Yes,Mombasa,Mvita,Tudor,TVET,No,No,Creatives and Arts,N/A,,,,,,,,,
,,,,2003,Female,No,Mombasa,Nyali,Ziwa la ngombe,Secondary (High School),No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,,Secondary (High School),No,No,Entrepreneurship,Entrepreneurship,,,,,,,,,
,,,,2005,Female,No,Mombasa,Kisauni,Junda ward,Secondary (High School),No,No,Hospitality and Tourism,Hospitality and tourism ,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2002,Male,No,Mombasa,Nyali,Kadzandani,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1997,Female,No,Mombasa,Kisauni,Mjambere ,College,No,No,Health,N/a,,,,,,,,,
,,,,1998,Male,No,Mombasa,Changamwe,Airport ,Secondary (High School),No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Kisauni,Shanzu,College,No,No,Digital Literacy Skills (technology),N/A,,,,,,,,,
,,,,2000,Female,No,Mombasa,Kisauni,Bamburi ,Univeristy,No,No,Hospitality and Tourism,N/A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,2006,Female,No,Mombasa,Mvita,Tudor,Secondary (High School),No,No,Entrepreneurship,N\A,,,,,,,,,
,,,,1995,Female,No,Mombasa,Kisauni,Shanzu,Secondary (High School),No,No,Entrepreneurship,N/A,,,,,,,,,
,,,,1999,Male,No,Mombasa,Changamwe,Chaani ,Univeristy,No,No,Digital Literacy Skills (technology),NA,,,,,,,,,
